content,href,time,rubrik,unterrubrik,veröffentlichungsdatum,publizierende_stelle,meldungsnummer,sprache,kanton
Bauprojekt: 3664 Burgistein,https://amtsblatt.be.ch/#!/search/publications/detail/0537811a-10d1-4637-8ac9-a402cdf1d8ea,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Einwohnergemeinde Burgistein,BP-BE10-0000000122,Deutsch,BE
"Bauprojekt: Lauterbachstrasse 42, 3414 Oberburg",https://amtsblatt.be.ch/#!/search/publications/detail/77f1d7f8-20c8-4d0e-9c67-aa98a1d855fb,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Einwohnergemeinde Oberburg,BP-BE10-0000000069,Deutsch,BE
"Bauprojekt: Meikirchstrasse, 3042 Ortschwaben",https://amtsblatt.be.ch/#!/search/publications/detail/812e6d9b-eb1e-4cf0-9e4e-156263d9421e,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA - Bern-Mittelland,BP-BE10-0000000106,Deutsch,BE
"Bauprojekt: Bernstrasse, 4922 Bützberg",https://amtsblatt.be.ch/#!/search/publications/detail/243ea6b6-19c5-4659-bb7b-bdc076886b0d,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA Oberaargau,BP-BE10-0000000109,Deutsch,BE
"Bauprojekt: Lindentalstrasse 72, 3067 Boll",https://amtsblatt.be.ch/#!/search/publications/detail/c527cd0c-b154-47db-8774-5adec6ba5598,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Einwohnergemeinde Vechigen - Bauabteilung,BP-BE10-0000000115,Deutsch,BE
"Bauprojekt: Brunnmatt, 4914 Roggwil",https://amtsblatt.be.ch/#!/search/publications/detail/1be15c36-c4dd-4d70-b224-ef0d4e04e663,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA Oberaargau,BP-BE10-0000000105,Deutsch,BE
"Bau- und Gewässerschutzpublikation: Habchegg, 3804 Habkern",https://amtsblatt.be.ch/#!/search/publications/detail/96fb73ca-4e01-4ba7-a704-5e4661fc40a2,11.03.2020,Kommunale Bauprojekte,Bau- und Gewässerschutzpublikation,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA Interlaken-Oberhasli,BP-BE20-0000000187,Deutsch,BE
Bauprojekt: 3042 Ortschwaben,https://amtsblatt.be.ch/#!/search/publications/detail/0268e216-dd75-4ea7-89b2-d457e2edfecc,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA - Bern-Mittelland,BP-BE10-0000000101,Deutsch,BE
"Bauprojekt: Petits Champs de Combe 74, 2745 Grandval",https://amtsblatt.be.ch/#!/search/publications/detail/57791703-d10c-4c2e-b454-4be1d887ceba,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - Préfecture du Jura bernois,BP-BE10-0000000112,Französisch,BE
"Bauprojekt: Wagisbachstrasse 21, 3818 Grindelwald",https://amtsblatt.be.ch/#!/search/publications/detail/1f7987ba-de9c-461b-b42f-f5840aa22ddd,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Einwohnergemeinde Grindelwald,BP-BE10-0000000104,Deutsch,BE
"Bau- und Gewässerschutzpublikation: Schweikhof 10, 3416 Affoltern",https://amtsblatt.be.ch/#!/search/publications/detail/300585c7-a413-47fa-be4c-2185b259b88c,11.03.2020,Kommunale Bauprojekte,Bau- und Gewässerschutzpublikation,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA Emmental,BP-BE20-0000000191,Deutsch,BE
"Bauprojekt: Spiegelberg, 4933 Madiswil",https://amtsblatt.be.ch/#!/search/publications/detail/d2ddd7e3-d968-4231-8ac3-f40145d7ceb9,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - RSTA Oberaargau,BP-BE10-0000000114,Deutsch,BE
"Bauprojekt: Hermandingen 73c, Parzelle Nr. 69, 4944 Auswil",https://amtsblatt.be.ch/#!/search/publications/detail/cc53c43b-d5a3-4cad-9720-1d47a917be30,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Einwohnergemeinde Auswil,BP-BE10-0000000110,Deutsch,BE
"Bauprojekt: Gressins dessus 1, 2744 Belprahon",https://amtsblatt.be.ch/#!/search/publications/detail/26bb2c61-fa05-4b84-97ad-dcf1c22e4a65,11.03.2020,Kommunale Bauprojekte,Kommunales Bauprojekt,Amtsblatt BE - 11.03.2020,Kanton Bern - Préfecture du Jura bernois,BP-BE10-0000000113,Französisch,BE
Bau- und Gewässerschutzpublikation: 2516 Lamboing,https://amtsblatt.be.ch/#!/search/publications/detail/8979a3a9-d29a-480a-8f41-7a3c602f26d3,04.03.2020,Kommunale Bauprojekte,Bau- und Gewässerschutzpublikation,Amtsblatt BE - 04.03.2020,Commune mixte de Plateau de Diesse,BP-BE20-0000000172,Französisch,BE
